video_source,reader_sleep_seconds,reader_flush_proportion,downscale_factor,dilate_kernel_size,movement_threshold,persist_factor,num_opencv_threads,start_datetime,input_duration_seconds,processing_duration_seconds,input_filesize_MB,output_filesize_MB
data/strawberry/cam_1_N_video_20210315_132804.h264.avi,5,0.9,16,41,40,0.65,10,2022-12-13 03:07:38.598189,598.9,260.06,1264.504246,53.960026
data/strawberry/cam_1_S_video_20210317_123004.h264.avi,5,0.9,1,41,40,0.75,10,2022-12-12 18:10:55.524616,600.4,645.87,1319.24134,139.817132
data/strawberry/cam_7_S_video_20210310_142405.h264.avi,5,0.9,1,63,40,0.75,10,2022-12-12 23:34:32.615395,600.133333,696.54,1320.890072,236.057158
data/strawberry/cam_4_N_video_20210317_114802.h264.avi,5,0.9,1,41,50,0.75,10,2022-12-12 12:44:00.815349,600.133333,621.56,1024.980056,95.221674
data/strawberry/cam_8_N_video_20210310_133844.h264.avi,5,0.9,16,63,40,0.65,10,2022-12-12 22:49:03.452776,600.1,256.16,1013.734438,120.0845
data/strawberry/cam_3_N_video_20210317_142705.h264.avi,5,0.9,16,41,40,0.75,10,2022-12-13 07:01:19.635897,598.633333,245.03,942.772768,60.101844
data/strawberry/cam_8_N_video_20210310_133844.h264.avi,5,0.9,16,63,50,0.75,10,2022-12-12 23:01:59.841754,600.1,265.07,1013.734438,118.64606
data/strawberry/cam_4_N_video_20210317_120802.h264.avi,5,0.9,16,41,40,0.75,10,2022-12-12 15:11:08.549738,598.366667,245.03,987.957332,56.53551
data/strawberry/cam_8_N_video_20210310_133844.h264.avi,5,0.9,16,41,50,0.65,10,2022-12-12 23:14:55.110340,600.1,260.04,1013.734438,99.440232
data/strawberry/cam_2_S_video_20210308_112402.h264.avi,5,0.9,1,41,40,0.65,10,2022-12-12 16:05:10.576496,600.133333,661.18,1296.294376,69.377742
data/strawberry/cam_4_N_video_20210317_120802.h264.avi,5,0.9,16,63,40,0.65,10,2022-12-12 14:50:42.566031,598.366667,245.04,987.957332,55.150008
data/strawberry/cam_1_N_video_20210315_132804.h264.avi,5,0.9,1,63,40,0.65,10,2022-12-13 01:25:01.190861,598.9,645.09,1264.504246,95.193176
data/strawberry/cam_3_N_video_20210317_142705.h264.avi,5,0.9,16,63,40,0.75,10,2022-12-13 06:44:35.834223,598.633333,254.44,942.772768,62.858074
data/strawberry/cam_1_S_video_20210317_123004.h264.avi,5,0.9,16,41,50,0.65,10,2022-12-12 19:06:07.672025,600.4,240.52,1319.24134,52.050946
